season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2010-11,2010-10-03,Getafe,Hercules,1,6,21,0.5,1.8,1.3,5,0.4,1.0,0.6,2,0.0,0.0,0.0,0,2.02,3.36,3.59,3,0,1
2010-11,2010-10-03,Almeria,Malaga,1,13,17,0.2,1.3,1.4,-1,0.2,1.6,1.7,-1,0.75,1.5,1.0,2,2.21,3.25,3.2,1,1,0
2010-11,2010-10-03,Osasuna,Levante,1,12,21,0.2,1.0,1.2,-2,0.1,0.8,2.4,-16,0.6,2.2,1.8,2,1.76,3.47,4.65,1,1,0
2010-11,2010-10-03,Villarreal,Santander,1,7,16,0.6,2.0,1.6,4,0.2,0.9,1.7,-8,0.6,1.4,0.4,5,1.67,3.56,5.31,2,0,1
2010-11,2010-10-03,Real Madrid,La Coruna,1,2,10,0.7,2.1,0.7,14,0.1,0.4,1.2,-8,0.6,1.6,1.2,2,1.18,6.5,14.29,6,1,1
2010-11,2010-10-03,Sevilla,Ath Madrid,1,4,9,0.5,2.3,1.6,7,0.5,1.7,1.3,4,0.6,1.4,1.0,2,2.19,3.29,3.22,3,1,1
2010-11,2010-10-16,Ath Madrid,Getafe,1,9,6,0.4,1.5,1.5,0,0.5,1.7,1.0,7,0.2,0.8,1.4,-3,1.78,3.51,4.5,2,0,1
2010-11,2010-10-16,Barcelona,Valencia,1,1,3,0.8,2.5,0.9,16,0.8,1.7,0.7,10,0.6,3.0,0.4,13,1.39,4.6,7.79,2,1,1
2010-11,2010-10-16,Malaga,Real Madrid,1,17,2,0.2,1.6,1.7,-1,0.7,2.5,0.7,18,0.0,1.0,2.0,-5,7.97,4.55,1.39,1,4,-1
2010-11,2010-10-17,Ath Bilbao,Zaragoza,1,8,14,0.3,1.4,1.8,-4,0.2,1.2,1.6,-4,0.2,1.2,1.4,-1,1.8,3.46,4.52,2,1,1
2010-11,2010-10-17,La Coruna,Osasuna,1,10,12,0.1,0.5,1.7,-12,0.2,1.1,1.3,-2,0.4,0.6,0.6,0,2.29,3.19,3.13,0,0,0
2010-11,2010-10-17,Levante,Sociedad,1,21,21,0.1,0.9,2.3,-14,0.3,1.2,1.5,-3,0.5,1.25,0.75,2,2.44,3.22,2.88,2,1,1
2010-11,2010-10-17,Mallorca,Espanol,1,5,11,0.4,1.1,1.2,-1,0.4,0.7,1.5,-8,0.4,2.0,1.2,4,1.97,3.34,3.84,0,1,-1
2010-11,2010-10-17,Santander,Almeria,1,16,13,0.2,0.8,1.7,-9,0.2,1.4,1.4,0,0.2,0.8,1.4,-3,2.14,3.25,3.39,1,0,1
2010-11,2010-10-17,Sp Gijon,Sevilla,1,15,4,0.1,0.9,1.6,-7,0.6,2.3,1.3,10,0.25,1.0,2.0,-4,3.29,3.29,2.16,2,0,1
2010-11,2010-10-18,Hercules,Villarreal,1,21,7,0.33,0.83,1.0,-1,0.6,2.0,1.5,5,0.0,0.0,0.0,0,2.77,3.26,2.49,2,2,0
